313-2 Part 2: JP7 (Sample 'B')
  725    4    1    0    2      <-- KG    KA    IPNT  IACT  KQT  (5I5)
0.005  9.0  0.03  0.001       <-- ACVX  FCHN  FCVX  FS         (free format)
0.0   0   0  29939328.0  1.0   <-- AK1   NORML ILOG  TIME  ACNM (free fmt: R,I,I,R,R)
MN552    2.100E-08 0.030                       IWX
FE54P    6.950E-09 0.030                       IWX
FE58G    2.360E-09 0.030            FENG 00.00 IWX
CO59G    6.510E-08 0.030            CONG 00.00 IWX
Estimated flux uncertainties
  48
1.000e-11 1.000e-10 5.000e-10 1.500e-09 4.000e-09 1.000e-08 2.530e-08 1.010e-06 
1.300e-06 3.000e-06 3.500e-06 8.100e-06 1.190e-05 3.713e-05 3.910e-05 4.830e-05 
9.000e-05 1.430e-04 1.800e-04 1.885e-04 2.020e-04 2.095e-04 2.200e-04 5.500e-04 
6.700e-04 6.830e-04 9.500e-04 1.550e-03 1.800e-03 2.250e-03 3.000e-03 3.900e-03 
5.700e-03 5.200e-02 7.300e-02 7.500e-02 1.283e-01 7.500e-01 8.750e-01 1.010e+00 
1.850e+00 2.479e+00 1.000e+01 1.284e+01 1.384e+01 1.455e+01 1.733e+01 2.000e+01 
0.000e+00 2.352e-01 4.450e-02 2.190e-02 8.900e-03 4.000e-03 1.720e-02 2.910e-02 
1.590e-02 2.780e-02 2.080e-02 9.400e-03 2.360e-02 4.630e-02 2.460e-02 1.950e-02 
2.460e-02 7.400e-03 1.390e-02 4.410e-02 1.760e-02 2.820e-02 1.290e-02 4.000e-03 
6.700e-03 2.050e-02 6.900e-03 1.570e-02 7.700e-03 1.800e-02 7.000e-03 1.360e-02 
8.300e-03 1.310e-02 5.600e-03 1.330e-02 1.310e-02 7.100e-03 1.240e-02 8.800e-03 
3.300e-03 9.700e-03 1.840e-02 3.270e-02 1.364e-01 2.296e-01 3.636e-01 6.166e-01 
MCNP-estimated MG flux
 252   0 1.0000e+00  300.0000    0.0000
 1.000000e-11 1.000000e-10 5.000000e-10 7.500000e-10 1.000000e-09 1.200000e-09
 1.500000e-09 2.000000e-09 2.500000e-09 3.000000e-09 4.000000e-09 5.000000e-09
 7.500000e-09 1.000000e-08 2.530000e-08 3.000000e-08 4.000000e-08 5.000000e-08
 6.000000e-08 7.000000e-08 8.000000e-08 9.000000e-08 1.000000e-07 1.250000e-07
 1.500000e-07 1.750000e-07 2.000000e-07 2.250000e-07 2.500000e-07 2.750000e-07
 3.000000e-07 3.250000e-07 3.500000e-07 3.750000e-07 4.000000e-07 4.500000e-07
 5.000000e-07 5.500000e-07 6.000000e-07 6.250000e-07 6.500000e-07 7.000000e-07
 7.500000e-07 8.000000e-07 8.500000e-07 9.000000e-07 9.250000e-07 9.500000e-07
 9.750000e-07 1.000000e-06 1.010000e-06 1.020000e-06 1.030000e-06 1.040000e-06
 1.050000e-06 1.060000e-06 1.070000e-06 1.080000e-06 1.090000e-06 1.100000e-06
 1.110000e-06 1.120000e-06 1.130000e-06 1.140000e-06 1.150000e-06 1.175000e-06
 1.200000e-06 1.225000e-06 1.250000e-06 1.300000e-06 1.350000e-06 1.400000e-06
 1.450000e-06 1.500000e-06 1.590000e-06 1.680000e-06 1.770000e-06 1.860000e-06
 1.940000e-06 2.000000e-06 2.120000e-06 2.210000e-06 2.300000e-06 2.380000e-06
 2.470000e-06 2.570000e-06 2.670000e-06 2.770000e-06 2.870000e-06 2.970000e-06
 3.000000e-06 3.100000e-06 3.200000e-06 3.500000e-06 3.730000e-06 4.100000e-06
 4.700000e-06 5.000000e-06 5.400000e-06 6.000000e-06 6.250000e-06 6.500000e-06
